Expedition,,,,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011,ICE2011
Sample name,,,,ICE11-34,ICE11-96,ICE11-456,ICE11-175,ICE11-252,,ICE11-330,ICE11-331,ICE11-332,ICE11-333,ICE11-334,,ICE11-418,ICE11-667,ICE11-775,ICE11-776,ICE11-777,ICE11-778,ICE11-745,,ICE11-878,ICE11-879,ICE11-880,ICE11-881,ICE11-864,ICE11-944,ICE11-945,ICE11-947,ICE11-930,ICE11-992,ICE11-993,ICE11-994,ICE11-995,ICE11-996,ICE11-1058,ICE11-1059,ICE11-1060,ICE11-1061,ICE11-1062,ICE11-1130,ICE11-1131,ICE11-1132,ICE11-1133,ICE11-1134,ICE11-1196,ICE11-1197,ICE11-1198,ICE11-1199,ICE11-1200,ICE11-1262,ICE11-1263,ICE11-1264,ICE11-1265,ICE11-1266,ICE11-1328,ICE11-1329,ICE11-1330,ICE11-1331,ICE11-1332,ICE11-1399,ICE11-1400,ICE11-1401,ICE11-1402,ICE11-1403,ICE11-1472
Station,,,,ICE11_08,ICE11-11,ICE11-11,ICE11-19,ICE11-20,ICE11-20,ICE11-21,ICE11-21,ICE11-21,ICE11-21,ICE11-21,ICE11-21,ICE11-22,ICE11-24,ICE11-27,ICE11-27,ICE11-27,ICE11-27,ICE11-27,ICE11-27,ICE11-28,ICE11-28,ICE11-28,ICE11-28,ICE11-28,ICE11-29,ICE11-29,ICE11-29,ICE11-29,ICE11-30,ICE11-30,ICE11-30,ICE11-30,ICE11-30,ICE11-31,ICE11-31,ICE11-31,ICE11-31,ICE11-31,ICE11-32,ICE11-32,ICE11-32,ICE11-32,ICE11-32,ICE11-33,ICE11-33,ICE11-33,ICE11-33,ICE11-33,ICE11-34,ICE11-34,ICE11-34,ICE11-34,ICE11-34,ICE11-35,ICE11-35,ICE11-35,ICE11-35,ICE11-35,ICE11-36,ICE11-36,ICE11-36,ICE11-36,ICE11-36,ICE11-39
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude (N),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude (E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling depth (m) from,,,,10,10,under ice,10,10,under ice,50,25,10,5,0,under ice,10,10,50,25,10,5,0,under ice,50,25,10,5,0,50,25,5,0,50,25,10,5,0,50,25,10,5,0,50,25,10,5,0,50,25,10,5,0,50,25,10,5,0,50,25,10,5,0,50,25,10,5,0,10
Sampling depth (m) to,,,,10,10,under ice,10,10,under ice,50,25,10,5,0,under ice,10,10,50,25,10,5,0,under ice,50,25,10,5,0,50,25,5,0,50,25,10,5,0,50,25,10,5,0,50,25,10,5,0,50,25,10,5,0,50,25,10,5,0,50,25,10,5,0,50,25,10,5,0,10
Gear,,,,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle,Niskin bottle
Sample type,,,,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy,Phytoplankton taxonomy
Filtration volume (L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
